site_id,name,lat,lon,archetype,expected_profile,crew_size,shift_start,shift_end,night_shift,shift_hours,why_chosen,osm_type,osm_id,geocoded_name
PHX-SKY,Sky Harbor airfield ramp,33.432849,-112.006792,industrial_asphalt,high_peak_long_tail,14,05:00,13:30,False,8.5,"Square kilometres of unshaded concrete and asphalt with ramp crews on it all morning. No canopy to clip the peak, enormous thermal mass to hold it. The benchmark for worst case, and the site where a city-wide forecast high should be most badly optimistic.",relation,8367318,"Phoenix Sky Harbor International Airport, East University Drive, Central City, Phoenix, Maricopa County, Arizona, 85034, United States"
PHX-27TH,27th Avenue Resource Innovation Campus,33.416661,-112.117327,industrial_asphalt,high_peak_long_tail,22,05:30,14:00,False,8.5,"Municipal solid-waste transfer and materials recovery. Continuous outdoor labour on open asphalt with heavy plant running. Same thermal signature as the airfield but the largest day crew on the roster, so exposure-hours scale hardest here.",way,328622421,"3060, South 27th Avenue, Estrella, Phoenix, Maricopa County, Arizona, 85009, United States"
PHX-DVT,Deer Valley airport industrial apron,33.689169,-112.079804,industrial_asphalt,high_peak_long_tail,8,06:00,14:30,False,8.5,"North-valley counterpart to Sky Harbor, and deliberately paired with PHX-UNHL 1.7 km away. Two adjacent sites under identical regional weather but different surfaces is the cleanest available test that the API is measuring the SURFACE and not just re-reporting the regional forecast.",way,201715469,"Phoenix Deer Valley Airport, East Airport Boulevard, Deer Valley, Phoenix, Maricopa County, Arizona, 85024, United States"
PHX-CHASE,"Chase Tower block, N Central Ave",33.45088,-112.073191,downtown_canyon,clipped_peak_long_tail,6,21:00,05:30,True,8.5,"The tallest building in Arizona, in the deepest street canyon Phoenix has. Low sky-view factor clips the afternoon peak and then suppresses radiative cooling after sunset. Night shift, because downtown utility and street work is done at night. THIS IS THE DEMO'S LEAD SITE — a crew working 21:00 to 05:30 whose entire risk window is invisible to a forecast that reports a daytime maximum.",way,37057933,"Chase Tower, 201, North Central Avenue, Downtown, Central City, Phoenix, Maricopa County, Arizona, 85004, United States"
PHX-JEFF,"Superior Court complex, W Jefferson St",33.446552,-112.076522,downtown_canyon,clipped_peak_long_tail,5,21:00,05:30,True,8.5,"570 m from PHX-CHASE, in the lower-rise government block. Not an independent replicate — same district, same air mass — and it is not claimed as one. It tests something narrower and still worth knowing: whether the API's 20 m grid resolves intra-district variation at all, or whether both downtown sites return the same numbers. If they are identical, the site-level claim weakens everywhere.",way,37057892,"Maricopa County Superior Court Complex, 101, West Jefferson Street, Warehouse District, Downtown, Central City, Phoenix, Maricopa County, Arizona, 85003, United States"
PHX-ROOS,Roosevelt Row corridor works,33.458894,-112.069425,downtown_canyon,clipped_peak_long_tail,4,20:00,04:30,True,8.5,"Lower-rise mixed downtown fabric a kilometre north of Chase Tower — partial enclosure, some canopy. Predicted to land BETWEEN the full canyon and the open sites. A site predicted to be intermediate is the cheapest test that the mechanism is graded rather than binary; if it pins to one extreme, the story is wrong.",node,14064948743,"Roosevelt Row, Central City, Phoenix, Maricopa County, Arizona, 85004, United States"
PHX-SMTN,South Mountain Park north trailhead,33.34703,-112.084448,desert_edge,high_peak_fast_cool,5,05:00,13:00,False,8.0,"Parks maintenance and trail crews on bare desert soil and rock at the main Central Avenue park entrance. Unobstructed sky, dry air, nothing overhead. Should record close to the highest daily maximum on the roster and then shed it fastest after sunset. Primary candidate for the high-peak half of the inversion pair.",way,334969781,"10919, South Central Avenue, South Mountain, Phoenix, Maricopa County, Arizona, 85042, United States"
PHX-ESTR,Estrella Mountain desert-edge yard,33.322065,-112.353559,desert_edge,high_peak_fast_cool,6,05:00,13:00,False,8.0,"West-valley desert edge, 40 km from the downtown canyon sites. Replicate for the fast-cooling prediction and a control on distance: if PHX-SMTN and PHX-ESTR agree while sitting on opposite sides of the metro, the driver is exposure, not place.",way,98411420,"Estrella Mountain Regional Park, Avondale, Maricopa County, Arizona, United States"
PHX-L202,Loop 202 South Mountain corridor paving,33.29569,-111.977945,desert_edge,high_peak_fast_cool,18,19:00,05:00,True,10.0,"Freeway corridor on the desert fringe in Ahwatukee, night paving crew of 18 — the largest crew on the roster. The interesting case: an open desert-edge site should cool fast after dark, so this crew may be the SAFEST on the roster despite sitting at one of the highest daytime peaks. If the tool says so it is arguing against the intuition that a hot site means a hot shift, which is the entire point of measuring duration inside the shift window instead of reporting a maximum.",way,443910020,"Congressman Ed Pastor Freeway, Foothills Paseo Condominiums, Ahwatukee Foothills, Phoenix, Maricopa County, Arizona, 85044, United States"
PHX-TRES,"Tres Rios wetlands, 91st Ave reclamation",33.39303,-112.256163,park_adjacent,depressed_peak,11,06:00,14:30,False,8.5,"Constructed wetland fed by the 91st Avenue wastewater plant — hectares of open water and marsh in the middle of the west-valley desert, with Phoenix Water Services crews on it. Evaporative damping with almost no canopy, which separates the two cooling mechanisms: if this tracks Encanto Park the driver is evaporation, if it tracks the asphalt sites the driver was shade all along.",relation,21064933,"Tres Rios Environmental Restoration Project, Estrella, Phoenix, Maricopa County, Arizona, United States"
PHX-ENCA,Encanto Park grounds,33.474992,-112.08922,park_adjacent,depressed_peak,7,05:30,14:00,False,8.5,"Flood-irrigated turf, mature canopy and open water, 2.7 km from Chase Tower. The oasis effect should depress the midday heat index measurably against every asphalt site. This is the DAYTIME lever — a contrast that lands inside a normal day shift, so the demo does not depend solely on the nocturnal mechanism.",relation,17895897,"Encanto Park, 2605, Encanto, Phoenix, Maricopa County, Arizona, 85007, United States"
PHX-UNHL,Union Hills Water Treatment Plant,33.700836,-112.065608,mixed_suburban,high_peak_fast_cool,9,06:00,14:30,False,8.5,"Ordinary north-valley suburban fabric — some hardstanding, some landscaping, no enclosure. The mid-scale control, and the paired partner to PHX-DVT 1.7 km south. Without a site that lands in the middle, any spread this project reports could be an artefact of having sampled only the extremes.",way,186805496,"23820, North 7th Street, Deer Valley, Phoenix, Maricopa County, Arizona, 85024, United States"
